VCD info: dumpfile mac.vcd opened for output.
Time	Valid	A	B	Result	Out_Valid	Overflow
5000	0	0	0	0	0		0
15000	0	0	0	0	0		0
25000	0	0	0	0	0		0
35000	1	100	50	0	0		0
45000	1	-100	50	0	0		0
55000	1	100	-100	5000	1		0
65000	1	-100	-50	0	1		0
75000	1	50	50	-10000	1		0
85000	1	50	25	-5000	1		0
95000	1	-50	-25	-2500	1		0
105000	0	20	30	-1250	1		0
115000	0	10	10	0	1		0
125000	0	5	15	0	0		0
135000	0	0	0	0	0		0
145000	1	255	255	0	0		0
155000	1	255	255	0	0		0
165000	1	255	255	65025	1		0
175000	1	255	255	130050	1		0
185000	1	255	255	195075	1		0
195000	1	255	255	260100	1		0
205000	1	255	255	325125	1		0
215000	1	255	255	390150	1		0
225000	1	255	255	455175	1		0
235000	1	255	255	520200	1		0
245000	1	255	255	585225	1		0
255000	1	255	255	650250	1		0
265000	1	255	255	715275	1		0
275000	1	255	255	780300	1		0
285000	1	255	255	845325	1		0
295000	1	255	255	910350	1		0
305000	1	255	255	975375	1		0
315000	1	255	255	1040400	1		0
325000	1	255	255	1105425	1		0
335000	1	255	255	1170450	1		0
345000	1	255	255	1235475	1		0
355000	1	255	255	1300500	1		0
365000	1	255	255	1365525	1		0
375000	1	255	255	1430550	1		0
385000	1	255	255	1495575	1		0
395000	1	255	255	1560600	1		0
405000	1	255	255	1625625	1		0
415000	1	255	255	1690650	1		0
425000	1	255	255	1755675	1		0
435000	1	255	255	1820700	1		0
445000	1	255	255	1885725	1		0
455000	1	255	255	1950750	1		0
465000	1	255	255	2015775	1		0
475000	1	255	255	2080800	1		0
485000	1	255	255	2145825	1		0
495000	1	255	255	2210850	1		0
505000	1	255	255	2275875	1		0
515000	1	255	255	2340900	1		0
525000	1	255	255	2405925	1		0
535000	1	255	255	2470950	1		0
545000	1	255	255	2535975	1		0
555000	1	255	255	2601000	1		0
565000	1	255	255	2666025	1		0
575000	1	255	255	2731050	1		0
585000	1	255	255	2796075	1		0
595000	1	255	255	2861100	1		0
605000	1	255	255	2926125	1		0
615000	1	255	255	2991150	1		0
625000	1	255	255	3056175	1		0
635000	1	255	255	3121200	1		0
645000	1	255	255	3186225	1		0
655000	1	255	255	3251250	1		0
665000	1	255	255	3316275	1		0
675000	1	255	255	3381300	1		0
685000	1	255	255	3446325	1		0
695000	1	255	255	3511350	1		0
705000	1	255	255	3576375	1		0
715000	1	255	255	3641400	1		0
725000	1	255	255	3706425	1		0
735000	1	255	255	3771450	1		0
745000	1	255	255	3836475	1		0
755000	1	255	255	3901500	1		0
765000	1	255	255	3966525	1		0
775000	1	255	255	4031550	1		0
785000	1	255	255	4096575	1		0
795000	1	255	255	4161600	1		0
805000	0	0	0	-4161983	1		1
815000	0	0	0	0	0		0
825000	0	0	0	0	0		0
835000	1	-256	255	0	0		0
845000	1	255	255	0	0		0
855000	1	-256	-256	-65280	1		0
865000	1	255	255	-255	1		0
875000	1	-256	-256	65281	1		0
885000	1	-256	-256	130306	1		0
895000	1	-256	-256	195842	1		0
905000	1	-256	255	261378	1		0
915000	1	255	255	326914	1		0
925000	1	-256	255	261634	1		0
935000	1	255	-256	326659	1		0
945000	1	-256	255	261379	1		0
955000	1	255	255	196099	1		0
965000	1	-256	255	130819	1		0
975000	1	255	255	195844	1		0
985000	1	255	-256	130564	1		0
995000	1	255	-256	195589	1		0
1005000	1	-256	255	130309	1		0
1015000	1	255	255	65029	1		0
1025000	1	255	255	-251	1		0
1035000	1	-256	255	64774	1		0
1045000	1	255	255	129799	1		0
1055000	1	-256	255	64519	1		0
1065000	1	-256	-256	129544	1		0
1075000	1	255	255	64264	1		0
1085000	1	-256	-256	129800	1		0
1095000	1	-256	255	194825	1		0
1105000	1	-256	255	260361	1		0
1115000	1	-256	-256	195081	1		0
1125000	1	-256	-256	129801	1		0
1135000	1	255	-256	195337	1		0
1145000	1	255	255	260873	1		0
1155000	1	-256	-256	195593	1		0
1165000	1	255	-256	260618	1		0
1175000	1	255	-256	326154	1		0
1185000	1	-256	-256	260874	1		0
1195000	1	-256	-256	195594	1		0
1205000	1	-256	-256	261130	1		0
1215000	1	-256	255	326666	1		0
1225000	1	255	255	392202	1		0
1235000	1	255	-256	326922	1		0
1245000	1	255	255	391947	1		0
1255000	1	255	255	326667	1		0
1265000	1	-256	-256	391692	1		0
1275000	1	255	-256	456717	1		0
1285000	1	255	-256	522253	1		0
1295000	1	-256	255	456973	1		0
1305000	1	-256	-256	391693	1		0
1315000	1	-256	255	326413	1		0
1325000	1	-256	255	391949	1		0
1335000	1	-256	-256	326669	1		0
1345000	1	255	-256	261389	1		0
1355000	1	-256	255	326925	1		0
1365000	1	255	255	261645	1		0
1375000	1	-256	255	196365	1		0
1385000	1	-256	255	261390	1		0
1395000	1	255	255	196110	1		0
1405000	1	255	-256	130830	1		0
1415000	1	-256	255	195855	1		0
1425000	1	255	-256	130575	1		0
1435000	1	-256	255	65295	1		0
1445000	1	255	255	15	1		0
1455000	1	255	255	-65265	1		0
1465000	1	-256	-256	-240	1		0
1475000	1	255	-256	64785	1		0
1485000	1	-256	-256	130321	1		0
1495000	1	-256	255	65041	1		0
1505000	1	255	255	130577	1		0
1515000	1	-256	-256	65297	1		0
1525000	1	255	255	130322	1		0
1535000	1	-256	255	195858	1		0
1545000	1	-256	255	260883	1		0
1555000	1	-256	-256	195603	1		0
1565000	1	255	255	130323	1		0
1575000	1	-256	255	195859	1		0
1585000	1	-256	255	260884	1		0
1595000	1	255	-256	195604	1		0
1605000	1	-256	-256	130324	1		0
1615000	1	255	-256	65044	1		0
1625000	1	-256	-256	130580	1		0
1635000	1	255	-256	65300	1		0
1645000	1	-256	255	130836	1		0
1655000	1	255	255	65556	1		0
1665000	1	255	-256	276	1		0
1675000	1	255	-256	65301	1		0
1685000	1	255	-256	21	1		0
1695000	1	255	255	-65259	1		0
1705000	1	-256	255	-130539	1		0
